date,time,name,genus,species,lat,long,lure,notes
2021-11-04,8:07,Redfish,Sciaenops,ocellatus,28.203,-80.618,,
2021-11-04,8:07,Redfish,Sciaenops,ocellatus,28.203,-80.618,,
2022-11-03,8:50,Snook,Centropomus,undecimalis,28.201223,-80.616674,"red jighead, white gulp shrimp",
2019-11-14,9:00,Jack crevalle,Caranx,hippos,28.187613,-80.611233,,
2021-11-02,9:01,Redfish,Sciaenops,ocellatus,28.185,-80.614,,
2022-11-03,9:05,Redfish,Sciaenops,ocellatus,28.201662,-80.616691,"red jighead, white gulp shrimp",
2022-11-07,9:22,Snook,Centropomus,undecimalis,28.210877,-80.617341,"Popper, trout eye jighead and white gulp",
2019-11-11,9:30,Jack crevalle,Caranx,hippos,28.183044,-80.610825,"Jighead, penny gulp shrimp",
2018-10-10,9:45,Sheepshead,Archosargus,probatocephalus,28.188739,-80.612988,"Live shrimp, shot weight",
2021-11-02,9:52,Redfish,Sciaenops,ocellatus,28.18,-80.613,,
2019-11-06,10:00,Jack crevalle,Caranx,hippos,28.186729,-80.612795,"Jighead, gulp shrimp",
2019-11-10,10:00,Jack crevalle,Caranx,hippos,28.185368,-80.613027,"Jighead, penny gulp shrimp",
2018-10-18,10:00,Mangrove snapper,Lutjanus,griseus,28.186047,-80.614176,DOA glow shrimp,
2019-11-07,10:00,Mangrove snapper,Lutjanus,griseus,28.179573,-80.61024,"Red jighead, gulp shrimp",
2019-11-15,10:00,Mangrove snapper,Lutjanus,griseus,28.1942,-80.613598,"Jighead, gulp shrimp",
2022-11-04,10:33,Snook,Centropomus,undecimalis,28.211898,-80.617711,"DOA glow shrimp, weedless",
2022-11-05,10:46,Black drum,Pogonias,cromis,28.181013,-80.613791,"DOA glow shrimp, weedless",
2019-11-05,11:00,Jack crevalle,Caranx,hippos,28.179517,-80.612971,"Red jighead, gulp shrimp",
2019-11-12,11:00,Jack crevalle,Caranx,hippos,28.181862,-80.610518,"Popping cork, jighead, gulp shrimp",
2019-11-05,11:00,Mangrove snapper,Lutjanus,griseus,28.187065,-80.611173,"Red jighead, gulp shrimp",
2019-11-05,11:00,Mangrove snapper,Lutjanus,griseus,28.179421,-80.610199,"Red jighead, gulp shrimp",
2019-11-16,11:00,Pinfish,Lagodon,rhomboides,28.210974,-80.614466,"Jighead, gulp shrimp",
2017-11-08,12:00,Mangrove snapper,Lutjanus,griseus,28.185362,-80.612689,Live minnow on bobber,
2017-11-08,12:00,Pinfish,Lagodon,rhomboides,28.185362,-80.612689,Live minnow on bobber,
2018-10-14,12:00,Redfish,Sciaenops,ocellatus,,,Johnsons silver minnow (gold),
2017-11-06,12:00,Snook,Centropomus,undecimalis,28.185362,-80.612689,Live minnow,
2017-11-08,12:00,Snook,Centropomus,undecimalis,28.186079,-80.611341,Live shrimp on float,
2018-10-14,12:00,Snook,Centropomus,undecimalis,,,Johnsons silver minnow (gold),
2021-10-31,12:05,Black drum,Pogonias,cromis,28.185,-80.614,"White jig, white gulp shrimp",
2021-10-29,12:56,Mangrove snapper,Lutjanus,griseus,28.182,-80.605,Glow/gold DOA shrimp,
2021-11-08,13:00,Ladyfish,Elops,saurus,28.18,-80.612,"Jighead, penny gulp shrimp",
2021-11-08,13:03,Ladyfish,Elops,saurus,28.18,-80.612,"Jighead, penny gulp shrimp",
2021-10-31,13:33,Redfish,Sciaenops,ocellatus,28.18,-80.637,,
2018-10-08,15:00,Ladyfish,Elops,saurus,28.184436,-80.614582,"DOA shrimp, jighead, popping cork",
2018-10-08,15:00,Ladyfish,Elops,saurus,28.184436,-80.614582,"DOA shrimp, jighead, popping cork",
2017-11-08,15:00,Mangrove snapper,Lutjanus,griseus,28.185362,-80.612689,Live minnow,
2017-11-08,3:00 PM,Redfish,Sciaenops,ocellatus,28.18507,-80.614073,Penny gulp shrimp,
2017-11-08,3:00 PM,Redfish,Sciaenops,ocellatus,28.185198,-80.613293,Sugar spice glow gulp,
2017-11-08,3:00 PM,Snook,Centropomus,undecimalis,28.185284,-80.61321,Johnsons silver minnow (gold),
2021-10-28,15:02,Snook,Centropomus,undecimalis,28.184,-80.61,,
2021-11-07,15:21,Redfish,Sciaenops,ocellatus,28.184,-80.601,"Jighead, penny gulp shrimp",
2021-11-07,15:25,Redfish,Sciaenops,ocellatus,28.185,-80.624,"Jighead, penny gulp shrimp",
2019-11-16,16:00,Ladyfish,Elops,saurus,28.186728,-80.611395,"Jighead, gulp shrimp",
2021-11-01,16:04,Redfish,Sciaenops,ocellatus,28.212,-80.619,,
2021-11-08,16:38,Redfish,Sciaenops,ocellatus,28.185,-80.623,"Jighead, blue gulp shrimp",
2021-11-08,16:40,Redfish,Sciaenops,ocellatus,28.185,-80.623,"Jighead, blue gulp shrimp",
2021-11-08,16:50,Pinfish,Lagodon,rhomboides,28.185,-80.623,"Jighead, blue gulp shrimp",
2021-10-27,17:08,Ladyfish,Elops,saurus,28.199,-80.616,,
2022-11-02,17:10,Redfish,Sciaenops,ocellatus,28.183095,-80.623889,"Red jighead, white gulp shrimp",
2022-11-02,17:17,Redfish,Sciaenops,ocellatus,28.183051,-80.623969,"red jighead, white gulp shrimp",
2022-11-07,17:17,Snook,Centropomus,undecimalis,28.179715,-80.613081,"Red jighead, orange and green Z-man prawn",30 inches
2021-10-30,17:50,Redfish,Sciaenops,ocellatus,28.188,-80.611,"White jig, pink shrimp",
2021-10-30,17:50,Snook,Centropomus,undecimalis,28.188,-80.611,"White jig, yellow/orange shrimp",
2021-11-04,17:52,Redfish,Sciaenops,ocellatus,28.181,-80.614,,
2017-11-08,6:00 PM,Mangrove snapper,Lutjanus,griseus,28.188749,-80.613045,Popping cork gulp shrimp,
2018-10-07,18:00,Mangrove snapper,Lutjanus,griseus,28.188765,-80.613026,"Popping cork, jighead, penny gulp shrimp",
2018-10-15,23:30,Redfish,Sciaenops,ocellatus,28.187967,-80.613055,,
2018-10-15,23:30,Redfish,Sciaenops,ocellatus,28.187967,-80.613055,,
2018-10-16,,Redfish,Sciaenops,ocellatus,28.185118,-80.611081,Johnsons silver minnow (gold),
2019-11-05,,Redfish,Sciaenops,ocellatus,28.181564,-80.610521,"Red jighead, gulp shrimp",
2019-11-11,,Redfish,Sciaenops,ocellatus,28.186865,-80.612657,"Jighead, penny gulp shrimp",
2019-11-12,,Redfish,Sciaenops,ocellatus,28.187967,-80.613055,"Jighead, gulp shrimp",
2019-11-14,,Redfish,Sciaenops,ocellatus,28.179565,-80.611753,"jighead, gulp shrimp, clacker",
2019-11-16,,Redfish,Sciaenops,ocellatus,28.211104,-80.613927,"Jighead, white gulp shrimp",
2019-11-04,,Snook,Centropomus,undecimalis,28.185362,-80.612689,DOA glow/gold shrimp,
2019-11-05,,Snook,Centropomus,undecimalis,28.185362,-80.612689,"Red jighead, gulp shrimp",
2019-11-07,,Snook,Centropomus,undecimalis,28.185362,-80.612689,"Red jighead, gulp shrimp",
2019-11-15,,Snook,Centropomus,undecimalis,28.198786,-80.61568,"Jighead, gulp shrimp",
,,Spotted seatrout,Cynoscion,nebulosus,28.18713,-80.611241,"Jighead, gulp shrimp",
,,Spotted seatrout,Cynoscion,nebulosus,28.184775,-80.614187,"DOA glow shrimp, weedless",
,,Spotted seatrout,Cynoscion,nebulosus,28.200729,-80.616802,"Jighead, gulp shrimp",
,,Spotted seatrout,Cynoscion,nebulosus,28.186856,-80.613887,Super spook jr.,
2022-11-11,,Snook,Centropomus,undecimalis,28.184939,-80.624092,DOA glow/gold shrimp,
